Date,Hsi_Close,Date,Dji_Close
1/8/2008,27112.9,1/9/2008,12735.31
1/9/2008,27615.85,1/10/2008,12853.09
1/10/2008,27230.86,1/11/2008,12606.3
1/11/2008,26867.01,1/14/2008,12778.15
1/14/2008,26468.13,1/15/2008,12501.11
1/15/2008,25837.78,1/16/2008,12466.16
1/16/2008,24450.85,1/17/2008,12159.21
1/17/2008,25114.98,1/18/2008,12099.3
1/18/2008,25201.87,1/22/2008,11971.19
1/21/2008,23818.86,1/23/2008,12270.17
1/22/2008,21757.63,1/24/2008,12378.61
1/23/2008,24090.17,1/25/2008,12207.17
1/24/2008,23539.27,1/28/2008,12383.89
1/25/2008,25122.37,1/29/2008,12480.3
1/28/2008,24053.61,1/30/2008,12442.83
1/29/2008,24291.8,1/31/2008,12650.36
1/30/2008,23653.69,2/1/2008,12743.19
1/31/2008,23455.74,2/4/2008,12635.16
2/1/2008,24123.58,2/5/2008,12265.13
2/4/2008,25032.08,2/6/2008,12200.1
2/5/2008,24808.7,2/7/2008,12247
2/6/2008,23469.46,2/8/2008,12182.13
2/11/2008,22616.11,2/11/2008,12240.01
2/12/2008,22921.67,2/12/2008,12373.41
2/13/2008,23169.55,2/13/2008,12552.24
2/14/2008,24021.68,2/14/2008,12376.98
2/15/2008,24148.43,2/15/2008,12348.21
2/19/2008,24123.17,2/19/2008,12337.22
2/20/2008,23590.58,2/20/2008,12427.26
2/21/2008,23623,2/21/2008,12284.3
2/22/2008,23305.04,2/22/2008,12381.02
2/25/2008,23269.14,2/25/2008,12570.22
2/26/2008,23714.75,2/26/2008,12684.92
2/27/2008,24483.84,2/27/2008,12694.28
2/28/2008,24591.69,2/28/2008,12582.18
2/29/2008,24331.67,2/29/2008,12266.39
3/3/2008,23584.97,3/3/2008,12258.9
3/4/2008,23119.87,3/4/2008,12213.8
3/5/2008,23114.34,3/5/2008,12254.99
3/6/2008,23342.73,3/6/2008,12040.39
3/7/2008,22501.33,3/7/2008,11893.69
3/10/2008,22705.05,3/10/2008,11740.15
3/11/2008,22995.35,3/11/2008,12156.81
3/12/2008,23422.76,3/12/2008,12110.24
3/13/2008,22301.64,3/13/2008,12145.74
3/14/2008,22237.11,3/14/2008,11951.09
3/17/2008,21084.61,3/17/2008,11972.25
3/18/2008,21384.61,3/18/2008,12392.66
3/19/2008,21866.94,3/19/2008,12099.66
3/20/2008,21108.22,3/20/2008,12361.32
3/24/2008,21108.22,3/24/2008,12548.64
3/25/2008,22464.52,3/25/2008,12532.6
3/26/2008,22617.01,3/26/2008,12422.86
3/27/2008,22664.22,3/27/2008,12302.46
3/28/2008,23285.95,3/28/2008,12216.4
3/31/2008,22849.2,3/31/2008,12262.89
4/1/2008,23137.46,4/1/2008,12654.36
4/2/2008,23872.43,4/2/2008,12608.92
4/3/2008,24264.63,4/3/2008,12626.03
4/4/2008,24264.63,4/4/2008,12609.42
4/7/2008,24578.76,4/7/2008,12612.43
4/8/2008,24311.69,4/8/2008,12576.44
4/9/2008,23984.57,4/9/2008,12527.26
4/10/2008,24187.1,4/10/2008,12581.98
4/11/2008,24667.79,4/11/2008,12325.42
4/14/2008,23811.2,4/14/2008,12302.06
4/15/2008,23901.33,4/15/2008,12362.47
